"Name","Price","Dividend Yield","Market Cap ($M)","Forward P/E Ratio","Payout Ratio","Beta"
"Summit Hotel Properties, Inc.","12.07","5.9","1,284","19.6","117.0","0.76"
"Exantas Capital Corp.","11.88","7.1","380","12.8","91.4","0.51"
"New York Community Bancorp, Inc.","11.79","5.8","5,486","15.5","89.2","0.66"
"Ellington Residential Mortgage REIT","11.21","11.1","139","53.8","594.7","0.39"
"TESSCO Technologies, Inc.","10.92","7.3","94","124.9","915.3","0.67"
"Equitrans Midstream Corp.","10.81","12.5","2,662","165.0","2,000.0","1.12"
"Spark Energy, Inc.","10.61","6.9","371","-125.0","-853.9","0.47"
"Advanced Emissions Solutions, Inc.","10.46","9.6","194","5.8","55.2","0.61"
"Western Asset Mortgage Capital Corp.","10.35","11.9","554","13.1","157.3","0.56"
"CorePoint Lodging, Inc.","9.98","8.0","574","-2.4","-19.4","1.26"
"Peabody Energy Corp.","9.86","5.5","959","3.4","18.9","1.18"
"VEREIT, Inc.","9.41","5.7","10,239","-22.3","-130.5","0.50"
"Annaly Capital Management, Inc.","9.38","11.7","13,414","-2.3","-26.5","0.43"
"Ford Motor Co.","9.11","6.6","35,963","22.1","145.8","0.96"
"Archrock, Inc.","9.08","5.9","1,400","19.1","113.7","1.55"
"Psychemedics Corp.","9.00","7.9","50","16.8","134.4","0.33"
"Rocky Mountain Chocolate Factory, Inc.","8.74","5.5","52","20.1","110.5","0.19"
"Berry Petroleum Corp.","8.45","5.5","700","3.9","21.9","1.54"
"TiVo Corp.","8.32","6.2","1,057","-2.2","-13.6","1.03"
"Tecnoglass, Inc.","8.16","5.1","372","37.4","192.5","0.23"
"Capstead Mortgage Corp.","8.00","5.0","755","-8.7","-43.3","0.57"
"New Senior Investment Group, Inc.","7.90","6.6","657","-8.1","-53.2","0.65"
"Kentucky First Federal Bancorp","7.75","5.2","64","70.9","366.0","0.27"
"MFA Financial, Inc.","7.70","10.4","3,487","10.8","111.9","0.46"
"Senior Housing Properties Trust","7.55","14.1","1,824","-11.6","-165.4","0.69"
"C&J Energy Services, Inc.","7.36","13.6","486","-1.5","-21.0","-0.01"
"Tupperware Brands Corp.","7.36","20.2","360","3.5","71.6","0.91"
"Uniti Group, Inc.","7.19","10.5","1,381","39.6","413.2","1.34"
"Sotherly Hotels, Inc.","6.90","7.4","98","-15.0","-110.8","0.33"
"National CineMedia, Inc.","6.88","9.8","1,113","15.9","157.6","0.97"
"Blue Capital Reinsurance Holdings Ltd.","6.80","26.6","59","-2.6","-68.4","0.51"
"New Media Investment Group, Inc.","6.70","22.7","405","-34.8","-789.2","0.78"
"Falcon Minerals Corp.","6.39","9.8","544","15.7","152.6","1.11"
"New York Mortgage Trust, Inc.","6.30","12.8","1,823","13.3","168.5","0.45"
"Manhattan Bridge Capital, Inc.","6.27","7.6","60","13.6","104.4","0.09"
"Gannett Co., Inc.","5.94","25.8","723","-30.8","-789.2","0.46"
"Natural Health Trends Corp.","5.70","5.8","63","23.7","133.2","0.17"
"Orchid Island Capital, Inc.","5.69","16.8","359","-15.6","-263.4","0.62"
"Evolution Petroleum Corp.","5.57","7.2","181","14.9","107.2","1.18"
"GameStop Corp.","5.53","11.7","588","-0.7","-10.0","1.44"
"Pennsylvania Real Estate Investment Trust","5.23","15.5","419","-3.6","-57.5","1.50"
"Entercom Communications Corp.","4.86","5.9","677","-2.1","-12.5","1.36"
"Tailored Brands, Inc.","4.85","13.6","267","4.0","58.9","1.42"
"Pitney Bowes, Inc.","4.57","6.9","830","7.7","57.1","1.84"
"Quad/Graphics, Inc.","4.51","26.7","237","-1.2","-32.5","1.24"
"Colony Capital, Inc.","4.48","9.4","2,292","-1.4","-13.8","0.87"
"Sachem Capital Corp.","4.46","12.0","97","11.3","133.8","-0.06"
"CSS Industries, Inc.","4.31","9.1","39","-0.9","-8.6","0.88"
"GAIN Capital Holdings, Inc.","4.31","5.8","156","-5.1","-28.3","0.84"
"Global Self Storage, Inc.","4.25","6.2","32","50.1","306.2","0.22"
"Merrimack Pharmaceuticals, Inc.","4.24","34.8","57","-1.6","-57.8","0.30"
"Chico's FAS, Inc.","3.95","8.4","492","-18.9","-166.0","1.34"
"Rayonier Advanced Materials, Inc.","3.79","5.6","238","-3.8","-21.2","1.63"
"Washington Prime Group, Inc.","3.73","25.6","727","24.4","653.2","1.28"
"Consolidated Communications Holdings, Inc.","3.67","21.1","265","-9.0","-189.8","1.17"
"Cohen & Co., Inc.","3.50","13.4","3","-1.2","-14.0","0.45"
"Hunt Companies Finance Trust, Inc.","3.28","8.8","75","86.3","736.8","0.36"
"Superior Industries International, Inc.","3.18","8.8","77","-13.7","-116.2","1.67"
"Hallador Energy Co.","3.03","5.2","92","37.2","196.3","1.09"
"A.H. Belo Corp.","3.00","10.9","62","5.0","53.3","0.28"
"Beasley Broadcast Group, Inc.","2.98","6.7","82","7.7","51.4","0.56"
"Cedar Realty Trust, Inc.","2.74","7.1","249","54.6","398.4","0.57"
"Ashford Hospitality Trust, Inc.","2.70","13.3","275","-1.5","-19.5","1.10"
"Entravision Communications Corp.","2.61","7.5","225","-10.9","-83.3","0.78"
"Pioneer Power Solutions, Inc.","2.30","61.7","19","-1.6","-92.3","0.08"
"ProPhase Labs, Inc.","1.99","12.4","23","-7.3","-92.1","-0.09"
"Mammoth Energy Services, Inc.","1.73","14.7","76","1.6","22.4","1.40"
"Tile Shop Holdings, Inc.","1.54","13.0","78","-58.8","-763.4","1.09"
"Salem Media Group, Inc.","1.46","17.4","31","-1.5","-26.2","0.42"
"J.Jill, Inc.","1.04","109.5","46","-0.5","-57.4","1.33"
"CBL & Associates Properties, Inc.","1.02","14.3","210","-0.7","-10.6","1.80"
"Spirit MTA REIT","0.69","193.5","29","-0.1","-19.9","0.40"
"LSC Communications, Inc.","0.37","154.9","11","-0.1","-12.2","1.45"
"Dean Foods Co.","0.10","29.7","9","0.0","-0.7","0.42"
