"Name","Price","Dividend Yield","Market Cap ($M)","Forward P/E Ratio","Payout Ratio","Beta"
"MFA Financial, Inc.","7.89","10.1","3,564","11.0","111.9","-0.11"
"Moelis & Co.","31.95","6.2","2,322","12.9","79.2","-0.12"
"National CineMedia, Inc.","7.16","9.5","1,152","16.6","157.6","-0.31"
"National Health Investors, Inc.","78.62","5.3","3,456","21.7","114.8","-0.04"
"National Presto Industries, Inc.","88.78","6.8","621","19.3","130.1","-0.07"
"Natural Health Trends Corp.","5.77","5.5","66","24.0","133.2","0.05"
"New Media Investment Group, Inc.","6.70","22.7","405","-34.8","-789.2","0.78"
"New Residential Investment Corp.","16.23","12.3","6,743","19.3","238.2","-0.02"
"New Senior Investment Group, Inc.","7.58","6.9","628","-7.8","-53.2","0.02"
"New York Community Bancorp, Inc.","12.02","5.7","5,617","15.8","89.2","-0.10"
"New York Mortgage Trust, Inc.","6.43","12.4","1,873","13.6","168.5","-0.05"
"Nielsen Holdings Plc","19.74","7.1","7,023","-5.6","-39.6","0.08"
"NVE Corp.","69.89","5.7","338","24.7","141.4","0.17"
"Occidental Petroleum Corp.","38.32","8.2","34,231","24.9","203.2","-0.01"
"Office Properties Income Trust","30.90","10.9","1,489","-10.2","-111.3","0.10"
"Omega Healthcare Investors, Inc.","40.67","6.5","8,886","24.9","161.8","-0.07"
"One Liberty Properties, Inc.","27.72","6.5","551","43.5","282.7","-0.08"
"Orchid Island Capital, Inc.","5.81","16.5","366","-15.9","-263.4","-0.13"
"Oritani Financial Corp.","18.60","5.4","839","15.9","85.7","0.07"
"OUTFRONT Media, Inc.","25.62","5.6","3,677","24.2","135.9","-0.19"
"PacWest Bancorp","38.95","6.2","4,604","10.1","62.4","-0.20"
"Park Hotels & Resorts, Inc.","25.04","8.2","5,994","21.4","175.2","0.09"
"Pattern Energy Group, Inc.","27.19","6.2","2,671","-26.3","-163.3","-0.09"
"Peabody Energy Corp.","9.58","5.7","927","3.3","18.9","-0.35"
"Pebblebrook Hotel Trust","26.32","5.8","3,438","-43.2","-249.3","0.12"
"Pennsylvania Real Estate Investment Trust","5.24","16.0","406","-3.6","-57.5","-0.01"
"PennyMac Mortgage Investment Trust","22.59","8.3","2,263","8.7","72.0","-0.10"
"Philip Morris International, Inc.","85.95","5.3","133,727","17.9","95.6","-0.04"
"Physicians Realty Trust","18.16","5.1","3,365","78.4","397.4","-0.03"
"Pioneer Power Solutions, Inc.","2.26","60.6","19","-1.5","-92.3","0.16"
"Pitney Bowes, Inc.","4.24","8.0","724","7.2","57.1","-0.20"
"Plymouth Industrial REIT, Inc.","18.47","8.1","247","-4.6","-37.2","-0.40"
"ProPhase Labs, Inc.","2.04","12.3","23","-7.5","-92.1","0.13"
"Psychemedics Corp.","8.71","8.3","48","16.3","134.4","0.39"
"Quad/Graphics, Inc.","4.26","28.2","224","-1.2","-32.5","-0.14"
"Rayonier Advanced Materials, Inc.","4.12","5.1","260","-4.2","-21.2","-0.14"
"Ready Capital Corp.","15.48","10.3","698","9.1","94.0","-0.13"
"Redwood Trust, Inc.","16.71","7.2","1,883","13.9","99.8","-0.04"
"Retail Properties of America, Inc.","13.06","5.1","2,790","99.6","505.3","0.05"
"RLJ Lodging Trust","17.55","7.5","2,992","32.2","242.0","0.03"
"Rocky Mountain Chocolate Factory, Inc.","8.82","5.4","52","20.3","110.5","-0.13"
"RPT Realty","14.58","6.0","1,168","155.4","938.2","0.12"
"Sabra Health Care REIT, Inc.","20.74","8.7","4,196","537.3","4,663.2","0.00"
"Sachem Capital Corp.","4.47","11.9","98","11.3","133.8","0.01"
"Salem Media Group, Inc.","1.37","19.0","28","-1.4","-26.2","0.19"
"Schlumberger NV","39.46","5.1","54,628","-5.5","-27.9","0.11"
"SemGroup Corp.","15.02","12.6","1,195","-12.8","-161.4","-0.40"
"Senior Housing Properties Trust","7.46","14.5","1,774","-11.4","-165.4","-0.08"
"Signet Jewelers Ltd.","20.82","6.8","1,089","-4.8","-33.0","0.07"
"Simon Property Group, Inc.","144.66","5.7","95,546","20.8","118.0","0.15"
"SITE Centers Corp.","13.39","6.0","2,595","63.9","381.7","0.04"
"Six Flags Entertainment Corp.","45.99","7.1","3,887","14.4","102.6","0.19"
"Sotherly Hotels, Inc.","6.57","7.8","93","-14.3","-110.8","0.13"
"Spark Energy, Inc.","9.54","7.6","335","-112.4","-853.9","0.05"
"SpartanNash Co.","13.89","5.4","504","-37.4","-201.8","-0.66"
"Spirit MTA REIT","0.73","181.2","31","-0.1","-19.9","-0.15"
"Spirit Realty Capital, Inc.","48.34","5.2","4,355","19.8","102.4","0.04"
"Starwood Property Trust, Inc.","24.99","7.7","7,045","16.3","125.4","-0.02"
"Summit Hotel Properties, Inc.","11.98","6.0","1,259","19.5","117.0","-0.04"
"Superior Industries International, Inc.","3.45","7.8","86","-14.9","-116.2","0.48"
"Tailored Brands, Inc.","4.38","16.4","212","5.3","87.2","-0.47"
"Tanger Factory Outlet Centers, Inc.","14.89","9.5","1,383","11.8","111.3","-0.02"
"Tapestry, Inc.","25.51","5.3","7,039","13.7","72.2","0.29"
"Targa Resources Corp.","38.00","9.6","8,845","-27.0","-258.8","0.04"
"Taubman Centers, Inc.","29.59","9.1","1,811","-41.3","-373.9","0.09"
"Tecnoglass, Inc.","8.09","5.2","368","37.1","192.5","0.11"
"TerraForm Power, Inc.","15.22","5.2","3,455","-38.6","-201.2","-0.03"
"TESSCO Technologies, Inc.","11.11","7.2","94","127.1","915.3","-0.22"
"TFS Financial Corp.","19.95","5.1","5,586","69.8","356.9","-0.02"
"The Cato Corp.","17.72","7.4","436","12.1","90.3","-0.08"
"The Chemours Co.","17.65","5.7","2,885","7.2","41.0","-0.03"
"The GEO Group, Inc.","15.76","12.1","1,911","11.6","140.5","0.00"
"The Kraft Heinz Co.","31.62","5.8","38,613","-3.6","-20.5","0.24"
"The Williams Cos., Inc.","22.94","6.5","27,804","180.1","1,161.7","0.04"
"Tile Shop Holdings, Inc.","1.54","13.0","78","-58.8","-763.4","1.09"
"Tilly's, Inc.","11.98","8.3","356","14.1","117.8","0.03"
"TiVo Corp.","7.64","6.8","967","-2.0","-13.6","-0.15"
"TPG RE Finance Trust, Inc.","20.50","8.4","1,519","12.0","100.4","-0.18"
"TransDigm Group, Inc.","570.32","5.3","30,539","41.2","216.8","-0.24"
"Tribune Publishing Co.","13.21","13.2","475","-23.5","-311.8","-0.13"
"TripAdvisor, Inc.","29.21","12.0","4,071","34.7","415.7","-0.03"
"Triton International Ltd.","39.51","5.3","2,854","9.0","47.6","-0.22"
"Tupperware Brands Corp.","8.14","18.3","398","3.9","71.6","-0.12"
"Two Harbors Investment Corp.","14.93","11.7","4,074","-8.1","-94.6","-0.02"
"United-Guardian, Inc.","19.89","5.5","91","23.1","127.8","0.02"
"Uniti Group, Inc.","7.59","9.9","1,466","41.8","413.2","-0.19"
"Universal Corp.","56.11","5.4","1,391","15.7","84.7","-0.12"
"Vector Group Ltd.","12.06","12.6","1,782","17.3","218.9","-0.27"
"Ventas, Inc.","55.83","5.7","20,809","41.7","236.9","-0.07"
"VEREIT, Inc.","9.13","6.0","9,748","-21.7","-130.5","-0.02"
"Virtu Financial, Inc.","16.52","5.8","3,150","44.4","258.3","0.16"
"VMware, Inc.","148.94","18.0","61,051","9.3","167.6","0.11"
"W.P. Carey, Inc.","76.67","5.4","13,208","32.5","174.9","0.08"
"Waddell & Reed Financial, Inc.","16.81","5.9","1,182","8.7","51.9","-0.10"
"Washington Prime Group, Inc.","3.64","27.5","679","23.8","653.2","0.06"
"Weingarten Realty Investors","30.79","5.1","3,961","13.1","67.4","0.09"
"Western Asset Mortgage Capital Corp.","10.49","11.8","558","13.3","157.3","-0.20"
"Westwood Holdings Group, Inc.","30.18","9.5","267","28.9","275.5","-0.14"
"Whitestone REIT","13.25","8.6","538","31.6","271.5","0.04"
"Xenia Hotels & Resorts, Inc.","21.30","5.2","2,399","17.2","89.0","-0.07"
